,Order,Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB,Batting Team,Bowling Team,Match ID,Match No,Season,Season Match No
422,1,NM Hauritz,3.0,0,24,0,8.0,,,,1,0,Adelaide Strikers,Brisbane Heat,571237,37,BBL02,6
423,2,AC McDermott,4.0,0,48,3,12.0,,,,1,0,Adelaide Strikers,Brisbane Heat,571237,37,BBL02,6
424,3,DT Christian,4.0,0,42,0,10.5,,,,0,1,Adelaide Strikers,Brisbane Heat,571237,37,BBL02,6
425,4,BCJ Cutting,4.0,0,37,2,9.25,,,,0,0,Adelaide Strikers,Brisbane Heat,571237,37,BBL02,6
426,5,JR Hopes,1.0,0,5,0,5.0,,,,0,0,Adelaide Strikers,Brisbane Heat,571237,37,BBL02,6
427,6,NLTC Perera,4.0,0,27,3,6.75,,,,2,0,Adelaide Strikers,Brisbane Heat,571237,37,BBL02,6
428,1,KW Richardson,4.0,0,22,1,5.5,,,,3,0,Brisbane Heat,Adelaide Strikers,571237,37,BBL02,6
429,2,J Botha,4.0,0,36,1,9.0,,,,0,0,Brisbane Heat,Adelaide Strikers,571237,37,BBL02,6
430,3,GD Putland,4.0,0,39,0,9.75,,,,0,1,Brisbane Heat,Adelaide Strikers,571237,37,BBL02,6
431,4,MG Neser,2.0,0,21,0,10.5,,,,2,0,Brisbane Heat,Adelaide Strikers,571237,37,BBL02,6
432,5,CJ Boyce,2.0,0,27,1,13.5,,,,0,0,Brisbane Heat,Adelaide Strikers,571237,37,BBL02,6
433,6,KA Pollard,4.0,0,38,2,9.5,,,,1,0,Brisbane Heat,Adelaide Strikers,571237,37,BBL02,6
434,1,WD Sheridan,2.0,0,14,0,7.0,,,,0,0,Sydney Thunder,Melbourne Renegades,571238,38,BBL02,7
435,2,DJ Pattinson,3.0,0,15,0,5.0,,,,1,0,Sydney Thunder,Melbourne Renegades,571238,38,BBL02,7
436,3,NJ Rimmington,3.0,0,17,0,5.66,,,,0,0,Sydney Thunder,Melbourne Renegades,571238,38,BBL02,7
437,4,MN Samuels,4.0,0,28,1,7.0,,,,0,0,Sydney Thunder,Melbourne Renegades,571238,38,BBL02,7
438,5,M Muralitharan,4.0,0,16,2,4.0,,,,0,0,Sydney Thunder,Melbourne Renegades,571238,38,BBL02,7
439,6,AW O'Brien,3.0,0,15,3,5.0,,,,0,0,Sydney Thunder,Melbourne Renegades,571238,38,BBL02,7
440,7,AJ Finch,1.0,0,7,0,7.0,,,,0,0,Sydney Thunder,Melbourne Renegades,571238,38,BBL02,7
441,1,DP Nannes,4.0,0,20,1,5.0,,,,3,0,Melbourne Renegades,Sydney Thunder,571238,38,BBL02,7
442,2,CP Tremain,4.0,0,24,0,6.0,,,,3,0,Melbourne Renegades,Sydney Thunder,571238,38,BBL02,7
443,3,Azhar Mahmood,4.0,0,18,2,4.5,,,,0,0,Melbourne Renegades,Sydney Thunder,571238,38,BBL02,7
444,4,LA Doran,2.0,0,12,0,6.0,,,,0,0,Melbourne Renegades,Sydney Thunder,571238,38,BBL02,7
445,5,SA Abbott,3.2,0,28,1,8.4,,,,1,0,Melbourne Renegades,Sydney Thunder,571238,38,BBL02,7
446,6,CH Gayle,1.0,0,9,0,9.0,,,,1,0,Melbourne Renegades,Sydney Thunder,571238,38,BBL02,7
447,1,GJ Maxwell,1.0,0,9,0,9.0,,,,0,0,Hobart Hurricanes,Melbourne Stars,571239,39,BBL02,8
